Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionTests,Firefox 47.0,,2017-11-09 07:08:04,2017-11-09 07:08:55,51.547s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Firefox 47.0,Test to verify user is able to login successfully.,2017-11-09 07:08:04,2017-11-09 07:08:26,22.450s,PASSED
openBrowser,Firefox 47.0,,2017-11-09 07:08:04,2017-11-09 07:08:15,10.606s,PASSED
maximizeWindow,Firefox 47.0,Maximize current window,2017-11-09 07:08:15,2017-11-09 07:08:15,0.062s,PASSED
com.demo.utilities.CommonUtilities.waitForPageLoad,Firefox 47.0,,2017-11-09 07:08:15,2017-11-09 07:08:15,0.100s,PASSED
delay,Firefox 47.0,,2017-11-09 07:08:15,2017-11-09 07:08:17,2.021s,PASSED
callTestCase,Firefox 47.0,,2017-11-09 07:08:17,2017-11-09 07:08:26,8.853s,PASSED
verifyElementPresent,Firefox 47.0,,2017-11-09 07:08:26,2017-11-09 07:08:26,0.033s,PASSED
closeBrowser,Firefox 47.0,,2017-11-09 07:08:26,2017-11-09 07:08:26,0.268s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Firefox 47.0,This test case allows a user to book appointment.,2017-11-09 07:08:26,2017-11-09 07:08:55,28.709s,PASSED
openBrowser,Firefox 47.0,,2017-11-09 07:08:27,2017-11-09 07:08:35,8.535s,PASSED
maximizeWindow,Firefox 47.0,Maximize current window,2017-11-09 07:08:35,2017-11-09 07:08:35,0.020s,PASSED
com.demo.utilities.CommonUtilities.waitForPageLoad,Firefox 47.0,,2017-11-09 07:08:35,2017-11-09 07:08:35,0.022s,PASSED
delay,Firefox 47.0,,2017-11-09 07:08:35,2017-11-09 07:08:38,3.004s,PASSED
callTestCase,Firefox 47.0,,2017-11-09 07:08:38,2017-11-09 07:08:47,8.478s,PASSED
waitForElementVisible,Firefox 47.0,Wait for Facility select values to be visible in 10s,2017-11-09 07:08:47,2017-11-09 07:08:47,0.058s,PASSED
"Statement - flag = CustomKeywords.com.demo.utilities.CommonUtilities.checkDropDownListElementExist(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/select_facility), ""Hongkong CURA Healthcare Center"")",Firefox 47.0,,2017-11-09 07:08:47,2017-11-09 07:08:47,0.109s,PASSED
Statement - If (flag),Firefox 47.0,,2017-11-09 07:08:47,2017-11-09 07:08:47,0.230s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Click on hospital readmission checkbox,2017-11-09 07:08:47,2017-11-09 07:08:47,0.113s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Click on hospital readmission checkbox,2017-11-09 07:08:47,2017-11-09 07:08:47,0.113s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Click on VisitDate field,2017-11-09 07:08:47,2017-11-09 07:08:47,0.144s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Select 25th Nov,2017-11-09 07:08:47,2017-11-09 07:08:48,0.142s,PASSED
com.demo.utilities.CommonUtilities.setTextOnElement,Firefox 47.0,,2017-11-09 07:08:48,2017-11-09 07:08:48,0.329s,PASSED
delay,Firefox 47.0,,2017-11-09 07:08:48,2017-11-09 07:08:51,3.002s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,,2017-11-09 07:08:51,2017-11-09 07:08:52,0.754s,PASSED
com.demo.utilities.CommonUtilities.waitForPageLoad,Firefox 47.0,,2017-11-09 07:08:52,2017-11-09 07:08:52,0.015s,PASSED
delay,Firefox 47.0,,2017-11-09 07:08:52,2017-11-09 07:08:55,3.003s,PASSED
verifyTextPresent,Firefox 47.0,,2017-11-09 07:08:55,2017-11-09 07:08:55,0.283s,PASSED
closeBrowser,Firefox 47.0,,2017-11-09 07:08:55,2017-11-09 07:08:55,0.158s,PASSED
